age_years,sqft,rooms,bedrooms,bathrooms,pool,garage,zip_median_income,dist_transit_ft,trust_score,house_value
66.1,1891,4,2,1,0,0,56338,2386,6,767306
39.5,981,3,2,1,0,0,85420,1266,8,692967
33.1,1697,5,3,2,0,1,48896,1855,4,959112
20.5,1369,3,2,1,0,0,40000,1650,6,711039
21.6,3614,8,5,3,0,1,59487,5825,5,913177
28.1,3051,7,4,2,0,1,42862,1850,6,1114315
50.9,4742,10,5,3,0,1,90705,1671,8,1500000
70.3,3333,8,5,3,0,1,62917,3607,7,1141190
40.9,1539,3,2,1,0,0,59554,3014,6,854069
65.6,2074,5,3,2,0,1,81620,2500,6,507380
57.6,1397,3,2,1,0,0,72761,2065,7,908172
70.6,1423,5,3,2,0,0,55771,1269,7,653255
47.0,1595,3,1,1,0,1,53327,2121,7,902952
49.5,1086,4,2,2,0,0,70269,1416,8,712375
29.3,2515,6,4,2,0,0,100612,3554,8,1084931
62.3,2823,6,4,2,0,0,70740,2169,7,772593
33.4,2207,5,3,2,0,0,79461,2137,9,1078877
45.9,1856,4,2,2,0,0,72831,1359,6,1010392
44.4,2893,7,5,2,0,1,40000,1492,6,1019835
43.3,1372,3,2,1,0,0,61383,5680,5,505685
25.6,3000,7,4,3,0,0,74138,1144,9,1237602
28.0,2635,6,4,2,0,0,44593,1784,6,1132902
59.1,2190,5,3,2,0,0,46940,3584,6,1074828
35.3,1397,3,2,1,0,1,68751,2268,8,866752
37.7,2630,7,4,3,0,0,48428,2882,5,1093218
7.8,1536,3,2,1,0,0,71523,1218,8,987447
33.5,1675,4,2,2,0,0,54133,1254,8,831772
14.7,2192,5,3,2,0,0,68980,1308,6,884984
40.4,2901,6,4,2,0,0,59827,2081,7,1415668
19.1,1969,4,3,1,0,0,78858,898,6,690142
28.6,1345,2,1,1,0,0,40000,1564,5,736037
39.2,2239,5,3,2,0,0,40000,1682,4,653419
41.9,2685,6,3,2,0,1,44526,3952,6,1120899
41.8,2294,5,3,2,0,0,54459,2229,7,1206643
71.7,3141,8,5,3,0,1,44564,1152,7,1388874
79.8,1830,3,2,1,0,0,113234,2778,10,935127
12.8,1599,3,1,1,0,0,43780,1333,6,868350
97.1,1828,4,3,1,0,1,52513,3291,6,553587
19.8,3045,6,4,2,0,1,71897,2586,7,1269920
67.5,5000,10,5,3,0,1,44734,4220,4,1345698
25.8,2070,5,3,2,0,0,71868,1638,8,1244091
63.4,2870,6,2,2,0,1,43346,5441,5,1017595
26.6,1757,5,3,2,0,1,60061,1444,7,1008756
70.2,1311,2,1,1,0,0,96219,2915,8,878850
51.9,1303,3,2,1,0,0,73021,3377,7,668988
37.0,2605,6,4,2,0,0,85094,1063,8,1137242
21.7,4033,8,5,3,0,1,83926,1470,8,1337397
30.4,1589,5,3,2,0,0,72242,1921,7,874597
13.2,1797,5,3,2,0,1,44774,870,5,851196
21.7,2708,7,4,2,0,1,47798,2617,6,1068199
24.8,1604,4,3,1,0,0,69028,973,6,675298
46.8,1506,3,2,1,0,0,108509,1364,8,708445
87.5,1472,4,2,1,0,0,40000,848,7,711213
42.4,1380,3,2,1,0,0,40153,1382,6,656279
42.4,2349,5,3,2,0,0,107494,2699,8,991520
46.7,1720,5,3,2,0,1,50226,730,7,706275
23.3,2516,8,5,3,0,1,41041,874,6,1012307
40.9,2276,5,2,1,0,1,67224,1020,7,808860
28.1,2611,7,3,2,0,1,40000,1968,6,1310790
62.0,1451,5,3,2,0,0,40000,2044,6,755525
77.6,2382,7,4,3,0,0,51270,2536,5,737119
92.3,1829,5,3,2,0,0,76411,2394,7,771835
36.2,3955,9,5,4,0,1,105370,2546,7,1337089
45.9,3585,8,5,3,0,1,40000,2204,4,1394112
49.0,1324,3,1,1,0,0,57962,1822,7,621043
18.3,2233,4,2,1,0,1,40000,553,6,1308664
48.2,2976,6,4,2,0,1,93239,4596,7,1128566
17.7,1907,6,4,2,0,0,108949,875,8,808934
36.3,1771,3,2,1,0,1,47994,715,7,1059557
45.3,2733,5,3,2,0,1,96342,697,9,1159424
31.7,2271,7,4,2,0,1,61087,3783,5,779492
67.8,1966,5,3,2,0,1,57157,1577,6,818461
60.4,4592,10,5,3,0,1,40000,4588,4,1435166
74.1,2583,6,4,2,0,0,60780,2728,8,973263
54.5,2029,5,3,2,0,0,50156,4487,7,703475
8.0,1596,3,2,1,0,0,72267,1319,7,1034204
32.6,1408,5,3,2,0,1,61421,3836,6,691914
15.1,3208,8,5,3,0,1,52720,2734,6,1412398
56.1,1491,4,2,2,0,0,43455,930,3,872551
52.3,1230,2,1,1,0,0,55750,1146,6,587872
18.6,1795,3,2,1,0,0,52030,2066,6,1220014
49.6,1614,5,3,2,0,0,40000,622,7,754118
36.4,1993,5,3,2,0,1,48927,2191,6,1076311
52.9,2416,6,3,2,0,1,68741,1721,6,783652
42.6,2050,6,4,2,0,1,49229,1789,8,594098
46.8,2278,5,3,1,0,0,43996,8177,4,802859
50.9,2463,6,4,2,0,0,57756,3449,5,1105874
31.5,3462,7,4,3,0,0,91737,3665,8,1258161
56.3,1228,3,1,1,0,0,68152,1808,7,562548
75.2,1683,5,3,2,0,1,41011,3192,5,815500
50.8,1695,4,2,1,0,0,73247,1076,5,693138
37.1,2339,6,4,2,1,0,42127,1916,6,963937
46.7,3217,8,5,3,1,1,69158,2707,6,1449526
23.4,2102,4,2,1,0,0,50183,1104,5,963944
33.4,2678,7,4,3,0,0,67725,1385,6,1424109
35.6,1917,4,2,1,0,1,48710,621,5,925233
51.4,2509,7,4,3,0,1,74429,1524,7,1096923
48.0,2154,7,4,3,0,1,83626,845,8,1006030
24.4,4535,8,5,3,0,1,86430,1778,7,1429160
44.3,2771,5,3,2,0,0,80687,1901,8,871909
64.6,2359,5,3,2,0,1,54962,842,6,1050397
54.7,1142,3,2,1,0,0,40000,4020,4,511685
44.5,3372,7,4,3,0,1,94108,3303,7,1171961
46.1,1860,5,3,2,0,0,87134,1394,7,709440
43.1,1614,5,3,2,0,0,41008,2122,5,940524
21.2,2965,8,5,3,0,1,40000,1630,5,915604
22.0,1434,4,2,2,0,0,40000,1544,5,653311
29.5,915,3,1,1,0,0,135669,1560,8,827527
73.0,1330,4,2,2,0,0,44962,974,5,773039
17.0,2701,6,4,2,0,1,135849,1394,10,1438753
74.2,1912,5,3,2,0,0,59284,3598,6,925287
89.9,1927,5,3,2,0,0,40000,3275,4,710227
34.0,1182,4,2,2,0,0,52992,3758,5,509870
43.1,1663,5,3,2,0,0,40000,2434,5,713980
37.9,2939,7,4,3,0,0,51305,926,6,988378
19.3,1341,4,2,2,0,0,40000,3851,5,795899
28.9,1154,2,1,1,0,0,50177,1458,6,934469
119.3,1544,5,3,2,0,0,60118,1734,6,489311
50.2,3022,7,4,3,0,1,40639,4511,5,1217336
60.8,2165,6,3,3,0,0,46996,648,8,891565
42.0,1995,4,2,1,0,0,70619,2817,5,1002776
13.5,2223,5,3,2,0,0,57744,3134,6,1115949
11.5,915,2,1,1,0,0,50818,5286,4,388875
43.4,1400,3,2,1,0,1,50577,1605,6,979210
51.4,558,4,2,2,0,1,71584,2172,6,382814
85.9,2139,6,4,2,0,1,70497,2585,6,1199427
66.3,1495,3,2,1,0,0,48046,1551,6,670274
40.3,3847,8,5,3,1,1,116384,2600,7,1500000
44.9,1053,3,2,1,0,0,82407,1695,7,782107
47.0,1517,4,2,1,0,0,51410,2376,5,354015
17.2,1615,5,3,2,0,0,40000,712,5,699264
29.5,2322,5,3,2,0,0,46519,849,5,954270
19.3,1403,3,1,1,0,0,69263,2930,7,639464
57.6,2098,4,2,2,0,1,77841,3831,6,1146072
95.7,2694,8,5,3,0,1,59734,1116,7,1170190
58.0,1530,4,2,1,0,0,48489,1761,6,451298
50.4,1099,2,1,1,0,0,82159,1917,7,695995
49.6,2624,6,3,3,0,1,70690,861,6,1348081
48.4,1486,4,2,2,0,1,61415,5519,6,795055
21.3,1677,4,2,2,0,1,92923,1337,7,793105
5.8,1578,3,2,1,0,1,63621,1716,8,935775
33.0,2057,5,3,2,0,1,100164,2180,8,888714
15.6,813,2,1,1,0,0,42663,1369,6,684616
49.3,4625,9,5,3,0,1,48567,714,6,1198844
29.1,3053,7,4,3,0,1,61275,1898,7,1187946
49.5,1287,5,3,2,0,0,60550,10000,4,627412
20.8,1259,4,2,1,0,1,57834,3007,6,569938
46.0,2515,6,3,3,0,0,49264,1252,6,1237540
63.2,2208,6,4,2,0,0,98053,1189,8,671924
39.3,2060,4,2,1,0,0,55284,4459,6,750792
68.1,862,2,1,1,0,0,109158,1282,10,648886
61.4,2767,6,4,2,0,1,40638,729,6,1354789
48.3,1842,5,3,2,0,0,40000,4778,4,517988
55.6,1204,3,2,1,0,0,72351,1368,6,807409
32.3,1269,4,2,2,0,1,46341,1011,5,706725
33.1,1865,5,3,2,0,1,63095,1963,7,1087736
29.9,2843,7,4,3,1,0,68449,902,8,947515
53.5,2435,7,4,3,0,1,43234,3255,6,941959
31.1,1693,4,2,1,0,0,40000,1696,6,753692
66.5,3616,8,5,3,0,1,74001,4129,6,1463169
39.0,2658,7,4,3,0,1,45480,940,6,945045
25.4,2026,6,4,2,0,0,48359,1089,8,927576
27.9,1867,3,2,1,0,1,40000,3881,5,906361
64.2,1532,5,3,2,0,0,54736,3021,7,803183
37.5,4564,8,5,3,0,1,96259,1801,10,1500000
18.3,2761,7,4,3,0,1,74118,3135,7,936352
45.2,873,2,1,1,0,1,64882,2284,6,678160
22.3,1489,5,3,2,0,0,91760,1987,7,848100
27.6,1676,4,2,1,0,1,48879,1986,6,976595
46.2,1315,3,2,1,0,0,42831,1291,4,736450
42.2,1486,4,2,2,0,1,64287,2503,8,678721
29.3,3487,8,5,3,0,1,83917,3327,9,1470904
76.5,2175,4,2,1,0,1,58760,3330,4,736363
28.8,2262,7,4,3,0,0,40000,4092,4,778407
13.2,1177,3,2,1,0,0,40000,751,5,533303
53.6,4518,9,5,3,0,1,56243,1228,6,1425513
54.1,1611,3,2,1,0,0,67205,1521,8,898199
27.3,1108,2,1,1,0,0,141669,2353,8,743221
14.3,3608,8,5,3,0,1,76946,868,7,1382942
18.7,1380,2,1,1,0,0,50230,5147,4,614113
37.3,2951,6,4,2,0,0,81677,2946,6,1079213
77.8,2860,7,4,2,0,1,42815,2338,5,706390
16.7,3040,7,4,2,0,0,49072,4804,4,1155936
27.4,1349,3,1,1,0,0,47360,9581,4,764667
28.2,2852,7,4,3,0,1,54326,1943,6,1140122
34.6,1168,3,2,1,0,0,41938,816,6,1107798
35.0,1924,4,3,1,0,1,52964,1485,5,736473
72.8,1705,5,2,2,0,0,62590,1107,6,658211
42.2,1804,4,2,1,0,0,40000,2564,5,699325
35.3,2594,8,5,3,0,0,52124,3322,6,1114879
35.3,2617,7,4,3,0,0,126931,3968,8,1086877
28.6,1701,3,2,1,0,0,64727,872,6,753662
37.1,2097,7,4,3,0,1,57836,1657,8,913867
9.8,2893,8,5,3,0,0,62415,2913,8,1236117
50.3,1329,3,2,1,0,0,40000,4997,6,695545
20.1,1417,4,3,1,0,1,68045,2424,6,930045
49.4,1608,5,3,2,0,0,49531,1611,6,748763
47.7,2099,5,3,2,0,0,58142,10000,4,1051919
51.0,3676,8,5,3,0,0,68164,7191,4,964744
34.9,2695,6,4,2,0,1,132526,1422,9,1389965
78.2,1246,3,2,1,0,0,75155,1738,7,762151
16.5,2702,7,4,3,0,1,82733,2081,8,1289519
34.7,2851,7,4,3,0,0,82791,1230,8,815591
51.4,1912,6,4,2,0,1,40000,1139,5,779744
23.4,1388,3,2,1,0,0,71645,3345,7,785047
22.9,1362,4,2,2,0,0,109813,1966,8,1016849
25.0,1908,6,4,2,0,0,77083,1856,8,1324059
43.2,1196,3,2,1,0,0,44452,4490,3,388105
31.6,1281,3,2,1,0,0,40000,822,5,693527
95.4,1325,4,3,1,0,0,40000,1392,6,1112595
10.3,2380,5,3,2,0,1,64685,1426,7,918364
26.4,4198,8,5,3,0,1,74028,1644,7,1101489
14.6,2519,7,4,3,0,1,40000,2074,5,985177
42.0,2113,6,4,2,0,0,42467,1457,5,934895
17.7,1861,5,3,2,0,0,53428,469,6,700164
37.2,939,3,2,1,0,0,69774,3553,6,782078
33.8,5000,10,5,3,0,1,66537,395,7,1500000
42.3,2273,7,4,3,0,0,41721,1679,6,1004493
11.2,2612,6,4,2,0,1,50684,603,7,926040
18.9,1112,3,1,1,0,1,50757,424,6,685463
24.6,2462,6,4,2,0,0,69002,3311,6,1009741
46.6,1979,5,3,2,0,0,44326,604,7,903704
24.3,2226,6,3,2,0,0,61177,3994,6,1034709
40.1,2306,5,3,2,0,0,74228,2263,7,798428
38.3,5000,10,5,3,0,1,72481,3747,7,1500000
27.5,3297,6,4,2,0,0,90379,1765,9,1500000
50.8,2406,6,4,2,0,1,56798,1386,7,1173854
18.2,1774,5,3,2,0,1,40000,2367,5,983427
66.1,809,2,1,1,0,0,64665,1719,7,610147
34.8,2387,6,4,2,0,1,62720,1290,7,988652
75.4,768,2,1,1,0,0,57408,1171,7,551214
59.2,2401,5,3,2,0,0,50942,2640,6,1293429
65.4,790,3,2,1,0,0,100216,1282,10,678263
37.2,1650,4,2,2,1,0,60182,3718,6,662965
46.7,2027,5,3,2,0,1,74004,1787,7,894126
40.7,1531,4,2,2,0,1,51546,2588,6,906523
54.1,3400,8,5,3,1,1,50815,755,6,1348508
30.3,1551,5,3,2,0,1,68074,1209,7,811964
24.1,2000,5,3,1,0,1,49420,1034,7,1289382
35.9,1149,3,2,1,0,0,98941,1440,9,690740
41.9,1717,4,2,1,0,1,68556,817,7,1001749
56.4,1912,5,2,1,0,1,41512,1159,7,594357
72.5,845,3,2,1,0,0,71418,1385,8,533240
45.2,1622,4,3,1,0,0,52792,2689,5,807719
33.7,2190,5,3,2,0,1,78965,3318,7,783308
33.4,2132,7,3,2,0,1,57421,2401,6,878518
81.2,2568,6,4,2,0,0,110410,1273,10,866177
33.5,1818,5,3,2,0,1,40000,1964,7,647467
40.4,1943,5,3,2,0,1,42237,6501,4,1155882
29.4,4497,10,5,3,1,1,88475,2639,8,1391611
62.0,2151,5,3,2,0,0,93902,2907,8,1121022
39.8,3195,7,4,2,0,1,59571,1874,6,998254
53.0,1964,4,2,1,0,1,47621,1662,6,933362
39.7,2588,5,3,2,0,0,76549,10000,5,1166009
61.4,1606,4,2,1,0,1,46876,813,6,826428
49.3,1483,4,2,2,0,1,57411,2924,7,657791
20.6,2050,5,3,2,0,0,66114,697,7,843312
43.4,1032,2,1,1,0,0,67160,1857,5,768285
67.8,1699,5,3,2,0,1,88119,1994,9,640849
42.6,1992,4,2,1,0,0,63747,1813,6,715944
40.8,1834,4,2,1,0,1,59501,616,6,1027261
15.5,2818,6,4,2,0,1,78495,1569,7,1317878
41.4,3704,8,5,3,0,1,59470,2107,7,1114606
60.5,1576,4,2,2,0,0,42683,1247,6,913040
31.9,2745,6,4,2,0,1,45049,2744,5,911642
27.3,1234,3,2,1,0,0,65210,986,7,677047
32.0,1638,2,1,1,0,1,72700,5565,6,854189
103.4,1726,4,2,1,0,1,93665,3770,6,650432
29.6,1413,3,2,1,0,0,58119,908,7,657065
63.0,3264,9,5,4,0,1,84519,4488,7,1220383
22.4,1983,6,4,2,0,1,55247,849,6,580286
53.5,1503,3,2,1,0,1,51115,3618,6,990888
16.5,1722,5,3,2,0,1,58739,728,6,691610
52.7,1299,3,1,1,0,0,78162,3062,7,747162
40.1,1780,4,3,1,0,0,124636,2167,10,951206
23.0,2374,4,3,1,0,0,40000,1765,5,635592
27.7,1300,3,2,1,0,0,56457,1092,7,852203
27.3,1792,4,2,1,0,0,64336,1305,7,750028
57.8,1315,3,2,1,0,0,73996,4866,5,701288
50.2,1781,3,2,1,0,0,73038,977,6,1454865
61.9,2935,9,5,4,0,1,66644,3047,7,1154641
40.5,3922,8,5,3,0,1,59369,598,7,1366363
27.4,1971,4,3,1,0,0,40000,1764,6,1096248
54.4,1585,4,2,1,0,0,40763,2980,6,649449
92.7,2181,5,3,2,0,0,91277,1770,7,954546
44.6,1560,5,3,2,0,0,66939,2258,6,896370
38.6,1952,5,3,2,0,1,87159,1136,6,1079387
47.7,1318,3,2,1,0,0,63176,1390,7,495397
37.5,3383,6,3,2,0,1,47883,1795,6,1500000
42.9,5000,9,5,3,0,1,103707,909,9,1500000
55.8,1061,3,2,1,0,1,40000,1287,7,892323
20.4,1751,5,3,2,0,0,85018,1719,8,1008138
19.5,2097,5,3,2,0,1,85311,1882,7,1010691
91.1,2949,7,4,3,0,1,63600,1025,9,954764
13.3,3210,7,4,3,0,0,46206,1991,5,1312603
43.1,1384,3,2,1,0,0,155198,2313,10,762542
15.3,1833,4,2,1,0,1,62008,1665,7,1010391
22.4,1788,5,3,2,0,1,79109,1484,7,1285948
14.3,3358,7,4,3,0,1,55155,2004,7,914089
29.5,1269,3,2,1,0,0,40000,1644,6,841832
60.2,2152,7,4,3,0,0,61351,4380,4,745474
58.3,4316,9,5,3,0,1,85535,1504,9,1500000
32.4,1267,3,2,1,0,1,51576,1342,6,1126568
60.4,2368,5,3,2,0,0,71421,777,7,1094094
22.5,2738,5,3,2,0,0,59563,1633,6,1286298
63.3,1496,4,2,1,0,1,68241,3669,5,872184
50.3,2357,5,3,2,0,0,62762,1045,6,937634
35.1,1410,3,1,1,0,0,42897,1795,7,668237
11.2,1480,3,2,1,0,0,44612,424,5,597496
28.8,1321,3,2,1,0,0,118327,2714,10,1239377
15.0,2809,7,4,3,0,0,45874,1458,4,976847
12.3,2184,4,2,2,0,0,64928,1022,8,1222179
33.4,4020,8,5,3,0,1,48682,3014,6,1500000
21.0,1784,3,2,1,0,0,40000,3104,5,971577
41.5,2053,4,3,1,0,0,50082,2323,5,991743
20.1,958,2,1,1,0,0,59890,681,6,633032
73.8,1803,4,2,2,0,1,71939,815,7,928271
23.2,1667,3,2,1,0,0,62362,2619,6,764393
45.5,2285,5,3,2,0,1,63316,2838,6,747953
62.8,2265,5,3,2,0,1,53391,2450,6,878601
25.0,2433,5,3,2,0,0,44203,653,7,1245579
35.9,2388,7,4,3,0,0,78820,3198,6,1129790
34.7,1740,4,2,1,0,0,127034,3073,8,768650
39.8,2149,7,4,3,0,0,40391,3188,4,697866
19.5,1729,5,3,2,0,0,91147,3317,8,1063012
17.9,2012,5,3,2,0,1,41466,1183,6,840072
31.3,1697,3,2,1,0,1,50844,829,8,857964
86.3,1444,4,2,1,0,0,75245,1683,7,805750
111.2,2961,7,4,2,0,0,95085,2064,7,905449
21.7,2324,4,2,1,0,0,97183,1443,8,1374298
18.3,2320,5,3,2,0,1,108501,1321,8,1269321
21.8,2298,5,3,2,0,1,61982,2479,9,1014617
7.3,1622,3,2,1,0,0,61970,2467,7,924179
85.2,5000,10,5,3,0,1,41370,2862,4,1494664
45.1,1555,2,1,1,0,0,55730,1139,6,735162
27.9,2539,8,5,3,0,1,52858,1197,6,1096116
18.0,1593,5,3,2,0,0,72570,2911,7,930349
37.9,3874,8,5,3,0,1,41680,1176,6,1482688
14.3,1394,3,2,1,0,0,42601,1369,6,684772
25.7,2060,4,2,1,0,0,98102,828,9,1038661
48.4,994,5,3,2,0,1,40000,1952,6,768666
24.4,1108,3,2,1,0,0,55114,2788,6,753309
51.9,1605,5,3,2,0,0,65464,629,7,1246646
53.3,1893,6,4,2,0,1,65120,1724,6,1016869
17.4,1309,3,2,1,0,0,40000,1632,7,647675
33.7,3108,6,4,2,0,0,67435,1957,7,1301412
56.6,2418,9,5,4,0,0,81172,962,8,970653
49.8,4214,8,5,3,0,1,47908,973,7,1362892
56.1,2632,7,4,3,0,1,142579,1404,9,1353482
22.0,1206,3,1,1,0,0,40000,1287,6,527476
14.4,2094,5,2,1,0,1,81369,2834,7,1141660
59.1,2216,6,4,2,0,0,64906,3207,7,1119864
50.9,2617,5,3,2,0,1,44844,837,4,1048755
10.9,1999,7,4,3,0,0,40000,4065,6,649224
53.7,2735,6,4,2,0,1,53637,2967,5,962370
15.7,1249,4,2,2,0,0,67570,1408,8,667211
11.3,1631,4,2,2,0,0,63675,960,7,710706
43.1,2907,7,4,3,0,0,79430,1063,7,1225880
73.9,2555,6,4,2,0,0,40000,645,7,841806
19.0,1228,3,2,1,0,0,53772,714,5,703151
27.1,3496,8,5,3,0,1,58822,1075,8,1377497
50.1,3113,7,4,3,0,1,81062,3266,6,1273426
38.7,1434,3,1,1,0,0,52355,1711,7,989254
16.0,990,2,1,1,0,0,100472,2116,10,863320
17.0,1744,4,3,1,0,1,40000,828,6,920377
72.9,993,2,1,1,0,0,98531,1799,7,339398
23.5,2532,7,4,3,0,1,102423,3291,7,1245921
28.2,1773,6,4,2,0,0,77476,6773,5,1077373
48.6,1779,5,3,2,0,1,64669,1155,7,786295
23.5,2045,5,3,2,0,0,95562,3688,7,919202
30.8,2588,5,3,2,0,0,83072,3128,7,1045041
26.1,1480,3,2,1,0,1,47574,2028,5,926670
17.8,2249,5,3,2,0,0,54036,3234,4,846060
8.6,2273,5,3,2,0,1,56385,1552,6,911815
47.5,2426,4,3,1,0,1,101451,3290,8,1160033
84.1,2441,4,3,1,0,0,40000,3154,6,630812
45.1,2706,5,3,2,0,1,40000,1430,5,1190914
55.1,1799,5,3,2,0,0,62915,2499,7,942669
35.1,2148,5,3,2,0,0,50432,1448,6,758054
70.1,1559,4,2,1,0,1,77108,2894,8,893979
67.2,1362,4,2,2,0,0,42590,1027,6,754146
35.0,2496,5,3,1,0,1,40000,1431,4,942672
13.3,2521,7,4,3,0,0,83220,989,7,943891
20.4,2131,5,3,2,0,1,57032,1803,9,1004864
55.7,3288,7,5,2,0,1,69598,2110,8,1484062
103.1,5000,10,5,3,0,1,105673,1044,9,1500000
32.7,1934,5,3,2,0,0,58517,623,7,828816
14.7,1609,5,3,2,0,1,63756,2841,6,1110960
67.2,1862,3,2,1,0,0,53306,3455,5,744773
37.5,1323,5,3,2,0,0,75482,859,6,732050
62.9,1573,4,2,2,0,0,42581,6057,6,736171
24.8,1786,3,2,1,0,0,40000,2046,6,899897
33.2,1851,5,3,2,0,0,95633,1358,8,864924
33.9,1768,3,2,1,0,0,44342,3230,4,689895
25.8,1918,5,3,2,0,0,51486,1128,7,861348
65.1,1266,4,3,1,0,0,49433,705,6,537291
25.3,1948,4,3,1,0,0,51357,2558,6,655737
20.5,2046,4,2,1,0,1,71714,1035,7,1231763
56.1,2106,4,2,1,0,1,41090,2277,5,718185
27.3,1468,4,2,1,0,0,67514,489,8,518129
32.7,1252,2,1,1,0,0,40000,1718,4,683673
32.9,1526,4,2,2,0,0,40000,1519,7,584766
13.4,2567,5,3,2,0,0,61086,1526,6,1061307
21.6,1410,4,2,2,0,0,95662,3244,7,754649
26.5,3574,8,5,3,0,0,40000,1088,4,1286385
16.1,4667,10,5,3,0,0,84213,3046,7,1500000
23.6,2232,5,3,2,0,1,41645,2726,5,803293
33.1,1698,4,2,2,0,1,81945,5287,6,835114
49.9,1676,5,3,2,0,0,69473,1748,8,824001
41.7,1327,3,2,1,0,0,56091,1406,7,987777
21.0,1765,5,3,2,0,1,61883,2254,7,886840
15.7,2536,6,4,2,0,0,69062,626,6,1146313
43.9,1637,3,2,1,0,0,79239,1155,6,752534
46.5,1404,3,1,1,0,1,83527,1085,8,848752
77.9,1004,3,2,1,0,1,42786,1600,5,422420
22.5,3319,7,4,2,0,0,89570,1206,7,1282448
38.5,3319,8,5,3,0,0,63308,4848,6,1301509
61.4,536,2,1,1,0,0,136801,3351,10,837257
28.2,2719,5,3,2,0,1,50664,3809,5,629162
49.0,1011,2,1,1,0,1,40000,2037,7,848709
47.3,1456,3,2,1,0,0,96076,874,8,1283748
80.6,2019,7,4,3,0,0,55892,2722,6,992523
36.0,2784,5,3,2,0,0,50167,3674,5,1011455
48.0,1932,5,3,2,0,1,40000,809,5,969658
50.5,1978,5,2,2,0,0,112185,1361,10,996120
13.7,2721,6,4,2,0,0,75054,1946,6,1248990
47.9,4570,9,4,2,0,1,40000,2386,6,1370908
54.7,967,2,1,1,0,0,57791,3556,7,603540
20.6,1541,4,2,1,0,1,82813,699,7,874254
48.3,1811,4,3,1,0,1,59922,1447,6,1062114
21.1,1657,4,2,1,0,0,63432,1482,7,951465
22.1,2380,7,5,2,0,1,40000,1511,4,1006146
23.2,880,2,1,1,0,0,54707,1002,6,640566
25.2,3317,8,5,3,0,1,73918,3748,6,1112185
40.4,1898,5,3,2,1,0,102042,2456,9,1320233
25.7,3662,8,5,3,0,1,52788,1566,5,1324347
28.6,2765,7,4,3,0,1,72057,4344,6,1225526
27.1,1997,3,2,1,0,0,69450,1031,7,831516
30.0,2769,6,4,2,0,0,65867,2674,7,1324037
47.4,2296,7,4,3,0,1,40000,8497,2,850872
61.2,2000,5,3,2,0,0,40000,2948,5,779744
73.0,1610,3,2,1,0,0,55741,1498,6,880149
15.2,2513,7,4,3,0,0,133841,2750,10,1088473
36.2,2366,6,4,2,0,1,109535,2836,9,1011198
35.1,2364,6,4,2,0,0,40000,1275,7,870244
54.2,2578,6,3,1,0,0,56989,5749,5,891729
42.4,815,2,1,1,0,0,50679,3514,5,518178
18.0,3021,7,3,2,0,0,40964,2600,7,1189914
50.5,2466,6,4,2,0,1,79694,964,8,1127531
34.3,1545,5,3,2,0,0,65852,2021,6,509855
54.7,2935,7,4,3,0,1,46668,1248,8,1101717
34.4,2809,6,3,2,0,0,49662,1523,6,916347
54.8,1197,3,1,1,0,0,46607,1433,5,704419
54.3,3046,7,4,3,0,1,52661,1839,6,1392224
34.1,2242,5,2,1,0,1,87074,1403,6,1030237
18.6,1074,4,2,1,1,0,119200,2416,8,1076498
16.0,1320,3,2,1,0,1,56099,1192,7,890294
28.3,1880,5,3,2,0,0,40000,1120,6,489636
40.6,3315,8,5,3,0,0,40000,3566,5,968278
48.8,3372,8,5,3,0,0,50150,2691,6,845438
30.0,2589,7,4,3,0,0,40000,1117,4,808924
41.5,2109,7,4,3,0,0,69310,4015,6,669595
24.6,1542,5,3,2,0,0,93241,1393,6,825733
39.9,1422,3,1,1,0,1,91334,769,6,795089
40.7,2373,5,3,2,0,1,92071,4177,9,1103850
40.1,2187,5,3,2,0,0,84274,1490,9,793570
43.8,1724,5,3,2,0,0,71773,2579,8,930305
21.6,2811,7,4,3,0,0,40000,2186,5,910480
56.2,1545,4,1,1,0,1,54538,2547,6,799284
30.1,1756,4,2,1,0,0,75861,2610,8,865711
18.2,4052,8,5,3,0,1,80475,1230,5,1238136
39.0,1272,4,2,1,0,1,55800,3219,6,686575
16.3,3786,9,5,3,0,1,68392,1620,6,1088925
36.7,2688,7,4,3,0,1,40000,641,6,1096117
68.6,2252,4,2,1,0,1,49573,669,6,1095053
54.7,2328,6,3,2,0,0,104228,1026,9,1414639
31.5,2667,7,4,3,0,1,59301,2338,6,945167
28.2,2351,6,4,2,0,0,53898,755,8,771454
26.8,2269,7,4,3,0,0,70644,3884,7,958937
25.7,1706,5,3,2,0,0,73155,1994,7,922693
67.7,2308,6,3,2,0,1,59990,1036,8,936651
22.0,2135,5,3,2,0,0,65371,2780,5,867270
34.2,4887,8,5,3,0,1,62750,1539,6,1500000
43.2,1936,4,2,1,0,0,64226,6457,5,508342
48.8,2071,5,3,2,0,0,40000,668,4,669841
36.9,2654,5,3,2,0,0,111769,3028,8,1001239
35.8,1700,5,2,1,0,1,49208,1572,7,850045
12.1,1452,4,2,1,0,0,162684,2739,10,1031467
32.5,3514,8,5,3,0,1,100145,1077,9,1314129
20.4,1998,5,3,2,0,0,93872,604,9,1195231
52.0,3000,7,4,3,0,0,75940,1555,7,1124601
9.6,3124,6,4,2,0,1,90021,2142,9,1413837
25.7,1263,3,2,1,0,0,73005,1361,7,672655
21.9,1515,3,2,1,0,0,64714,1686,6,760789
